,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Assay Type,Assay Description,Assay Organism,Assay Variant Mutation,Target Name,Target Organism,Document Journal,pChEMBL,Canonical_Smiles
15775,CHEMBL4173185,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1occc1C(=O)OC.[Cl-],IC50,'=',130.0,nM,6.89,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.886056647693163,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1occc1C(=O)OC.[Cl-]
12847,CHEMBL3327123,COC(=O)c1ccc(CNC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)cc1,IC50,'=',130.0,nM,6.89,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.886056647693163,COC(=O)c1ccc(CNC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)cc1
9950,CHEMBL4474861,CO[C@@H](c1ccccc1)[C@H]1O[C@@H]2CC(=O)O[C@@H]2[C@H]1O,IC50,'=',130.0,nM,6.89,,F,Cytotoxicity against human MDA-MB-231 cells assessed as inhibition of cell growth after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Medchemcomm,6.886056647693163,CO[C@@H](c1ccccc1)[C@H]1O[C@@H]2CC(=O)O[C@@H]2[C@H]1O
8261,CHEMBL4161398,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1C(F)(F)F.[Cl-],IC50,'=',130.0,nM,6.89,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.886056647693163,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1C(F)(F)F.[Cl-]
3277,CHEMBL1236962,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,IC50,'=',130.0,nM,6.89,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem,6.886056647693163,COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F
5030,CHEMBL4175370,CCn1c(=O)/c(=C2\Sc3cc(SC)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1Cl.[Cl-],IC50,'=',130.0,nM,6.89,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.886056647693163,CCn1c(=O)/c(=C2\Sc3cc(SC)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1Cl.[Cl-]
1045,CHEMBL4084249,COc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,IC50,'=',131.0,nM,6.88,,F,Antiproliferative activity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.882728704344236,COc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1
9369,CHEMBL4790931,Cc1cccc(C(=O)Nc2ccc(C)c(C#Cc3nn(C4CCN(C)CC4)c4ncnc(N)c34)c2)c1,IC50,'=',133.0,nM,6.88,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.876148359032914,Cc1cccc(C(=O)Nc2ccc(C)c(C#Cc3nn(C4CCN(C)CC4)c4ncnc(N)c34)c2)c1
12565,CHEMBL4290325,C=C1C(=O)N(c2cc(OC)c(OC)c(OC)c2)[C@H]1c1ccc(OC)c(OC(C)=O)c1,IC50,'=',133.0,nM,6.88,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.876148359032914,C=C1C(=O)N(c2cc(OC)c(OC)c(OC)c2)[C@H]1c1ccc(OC)c(OC(C)=O)c1
14850,CHEMBL4450226,COc1cc(-c2c(C)c(=O)[nH]c3c(O)c(OC)ccc23)cc(SC)c1OC,IC50,'=',133.0,nM,6.88,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as cell growth inhibition measured after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.876148359032914,COc1cc(-c2c(C)c(=O)[nH]c3c(O)c(OC)ccc23)cc(SC)c1OC
1356,CHEMBL3358790,Fc1cc(F)cc(-c2nc3cccnc3n2C2CCCC2)c1,IC50,'=',138.0,nM,6.86,,F,Cytotoxicity against paclitaxel-resistant human MDA-MB-231 cells after 24 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.860120913598763,Fc1cc(F)cc(-c2nc3cccnc3n2C2CCCC2)c1
6645,CHEMBL3359388,Cc1ccsc1-c1nc2cccnc2n1C1CCCC1,IC50,'=',138.0,nM,6.86,,F,Cytotoxicity against paclitaxel-resistant human MDA-MB-231 cells after 24 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.860120913598763,Cc1ccsc1-c1nc2cccnc2n1C1CCCC1
9590,CHEMBL4750476,CC[C@@]1(OC(=O)CNC(=S)NC(=O)c2cccnc2)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,IC50,'=',138.5,nM,6.86,,F,Cytotoxicity against human MDA-MB-231 cells assessed as growth inhibition measured after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.858550226599533,CC[C@@]1(OC(=O)CNC(=S)NC(=O)c2cccnc2)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
14416,CHEMBL4452059,CSc1ccc(-c2cccc(NC(=O)CCc3cccc4c3B(O)OC4)c2)cc1,IC50,'=',140.0,nM,6.85,,F,Antiproliferative activity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.853871964321762,CSc1ccc(-c2cccc(NC(=O)CCc3cccc4c3B(O)OC4)c2)cc1
9674,CHEMBL4172300,CCc1ccc2c(c1)S/C(=c1/s/c(=C\c3scc[n+]3Cc3ccccc3)n(CC)c1=O)N2C.[Cl-],IC50,'=',140.0,nM,6.85,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.853871964321762,CCc1ccc2c(c1)S/C(=c1/s/c(=C\c3scc[n+]3Cc3ccccc3)n(CC)c1=O)N2C.[Cl-]
4496,CHEMBL43,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,IC50,'=',140.0,nM,6.85,,F,"Inhibitory activity against MDA-231 cell line using MTT assay (ER-,EGFR+,mutant p53)",Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.853871964321762,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
5521,CHEMBL575256,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCNCc1ccccc1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1,IC50,'=',141.0,nM,6.85,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem,6.85078088734462,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCNCc1ccccc1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1
5130,CHEMBL3426231,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nn(C2CCN(C(=O)OC(C)(C)C)CC2)c2ncnc(N)c12,IC50,'=',145.0,nM,6.84,,F,Cytotoxicity against human MDA-MB-231 cells assessed as cell viability after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.838631997765025,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nn(C2CCN(C(=O)OC(C)(C)C)CC2)c2ncnc(N)c12
5152,CHEMBL218832,CC[C@H](NC)C(=O)N[C@H]1CCC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,IC50,'=',146.0,nM,6.84,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem,6.835647144215563,CC[C@H](NC)C(=O)N[C@H]1CCC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O
4314,CHEMBL4532030,COc1cc(C(=O)/C(C)=C/c2ccc3cc[nH]c3c2)cc(OC)n1,IC50,'=',148.0,nM,6.83,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.8297382846050425,COc1cc(C(=O)/C(C)=C/c2ccc3cc[nH]c3c2)cc(OC)n1
3826,CHEMBL4758216,CC[C@@]1(OC(=O)[C@H](CCSC)NC(=S)NC(=O)c2cccs2)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,IC50,'=',148.5,nM,6.83,,F,Cytotoxicity against human MDA-MB-231 cells assessed as growth inhibition measured after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.828273546346769,CC[C@@]1(OC(=O)[C@H](CCSC)NC(=S)NC(=O)c2cccs2)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
3237,CHEMBL44657,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,IC50,'=',150.0,nM,6.82,,F,"Inhibitory activity against MDA-231 cell line using MTT assay (ER-,EGFR+,mutant p53)",Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.823908740944319,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
321,CHEMBL4171217,CCn1c(=O)/c(=C2\Sc3cc(C)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1.[Cl-],IC50,'=',150.0,nM,6.82,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.823908740944319,CCn1c(=O)/c(=C2\Sc3cc(C)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1.[Cl-]
421,CHEMBL4470776,O=C(CCc1cccc2c1B(O)OC2)Nc1cccc2ccccc12,IC50,'=',150.0,nM,6.82,,F,Antiproliferative activity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.823908740944319,O=C(CCc1cccc2c1B(O)OC2)Nc1cccc2ccccc12
12121,CHEMBL3233705,COc1ccc(C(=O)N[C@H](COc2ccc(/C=C/C(=O)NO)cc2)Cc2c[nH]c3ccccc23)cc1,IC50,'=',150.0,nM,6.82,,F,Antiproliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.823908740944319,COc1ccc(C(=O)N[C@H](COc2ccc(/C=C/C(=O)NO)cc2)Cc2c[nH]c3ccccc23)cc1
15513,CHEMBL4567927,CSc1cccc(-c2cccc(NC(=O)CCc3cccc4c3B(O)OC4)c2)c1,IC50,'=',150.0,nM,6.82,,F,Antiproliferative activity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.823908740944319,CSc1cccc(-c2cccc(NC(=O)CCc3cccc4c3B(O)OC4)c2)c1
14595,CHEMBL5080360,C=C1C(=O)[C@@]23[C@H](O)C[C@@H]4C(C)(C)CC[C@@H](O)[C@@]4(C)[C@]2(O)CC[C@@H]1[C@H]3O,IC50,'=',153.0,nM,6.82,,F,Cytotoxicity against human MDA-MB-231 cells assessed as reduction in cell viability incubated for 96 hrs by MTT method,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.815308569182402,C=C1C(=O)[C@@]23[C@H](O)C[C@@H]4C(C)(C)CC[C@@H](O)[C@@]4(C)[C@]2(O)CC[C@@H]1[C@H]3O
2743,CHEMBL4541657,COc1cc(C(=O)/C(C)=C/c2c[nH]c3cc(Cl)ccc23)cc(OC)n1,IC50,'=',153.0,nM,6.82,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.815308569182402,COc1cc(C(=O)/C(C)=C/c2c[nH]c3cc(Cl)ccc23)cc(OC)n1
9284,CHEMBL4061185,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1C[Se]C#N,IC50,'=',153.0,nM,6.82,,F,Growth inhibition of human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.815308569182402,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1C[Se]C#N
5127,CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,IC50,'=',156.0,nM,6.81,,F,Cytotoxicity against human MDA-MB-231 cells assessed as cell viability after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.806875401645538,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12
8368,CHEMBL1630409,COc1ccc([C@@H]2[C@@H](c3ccc(O)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1,IC50,'=',157.7,nM,6.8,,F,Antiproliferative activity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.802168306671097,COc1ccc([C@@H]2[C@@H](c3ccc(O)cc3)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1
11127,CHEMBL4161659,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1SC(F)(F)F.[Cl-],IC50,'=',160.0,nM,6.8,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.795880017344075,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1SC(F)(F)F.[Cl-]
15915,CHEMBL4783013,O=C1CC2OCC(OCc3ccccc3)C(O1)C2OCc1ccccc1,IC50,'=',160.0,nM,6.8,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability measured after 6 days by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.795880017344075,O=C1CC2OCC(OCc3ccccc3)C(O1)C2OCc1ccccc1
1786,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',160.0,nM,6.8,,F,Growth inhibition of human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem,6.795880017344075,O=C(CCCCCCC(=O)Nc1ccccc1)NO
11849,CHEMBL4177279,CCn1c(=O)/c(=C2\Sc3ccc(OC)cc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1OC(F)(F)F.[Cl-],IC50,'=',160.0,nM,6.8,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.795880017344075,CCn1c(=O)/c(=C2\Sc3ccc(OC)cc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1OC(F)(F)F.[Cl-]
11100,CHEMBL2380760,NS(=O)(=O)c1cccc2c1C(=O)c1cccc(O)c1C2=O,IC50,'=',160.0,nM,6.8,,F,Cytotoxicity against human MDA-MB-231 cells assessed as cell viability after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.795880017344075,NS(=O)(=O)c1cccc2c1C(=O)c1cccc(O)c1C2=O
14898,CHEMBL4174474,CCn1c(=O)/c(=C2\Sc3cc(OC)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1.[Cl-],IC50,'=',160.0,nM,6.8,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.795880017344075,CCn1c(=O)/c(=C2\Sc3cc(OC)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1.[Cl-]
6049,CHEMBL3327112,COc1cc(CNC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)ccc1O,IC50,'=',160.0,nM,6.8,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.795880017344075,COc1cc(CNC2=C3C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC2=O)C3=O)ccc1O
15109,CHEMBL4172969,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1c(Cl)cccc1Cl.[Cl-],IC50,'=',160.0,nM,6.8,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.795880017344075,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1c(Cl)cccc1Cl.[Cl-]
12437,CHEMBL2338274,CCc1ccc(/C=C/C(=O)NC[C@H]2c3cc(OC)c(OC)cc3C[C@H]3[C@H]4c5cc(OC)c(OC)cc5C[C@@H]([C@H](C#N)N23)N4C)cc1,IC50,'=',160.0,nM,6.8,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.795880017344075,CCc1ccc(/C=C/C(=O)NC[C@H]2c3cc(OC)c(OC)cc3C[C@H]3[C@H]4c5cc(OC)c(OC)cc5C[C@@H]([C@H](C#N)N23)N4C)cc1
7038,CHEMBL2338282,COc1cc2c(cc1OC)[C@@H]1[C@@H]3Cc4cc(OC)c(OC)cc4[C@H](CNC(=O)/C=C/c4ccc(C(F)(F)F)cc4)N3[C@@H](C#N)[C@H](C2)N1C,IC50,'=',160.0,nM,6.8,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.795880017344075,COc1cc2c(cc1OC)[C@@H]1[C@@H]3Cc4cc(OC)c(OC)cc4[C@H](CNC(=O)/C=C/c4ccc(C(F)(F)F)cc4)N3[C@@H](C#N)[C@H](C2)N1C
2410,CHEMBL65,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,IC50,'=',162.0,nM,6.79,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,ACS Med Chem Lett,6.790484985457369,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
7309,CHEMBL4474658,COc1cc(C(=O)/C(C)=C/c2ccc(OC)c(O)c2)cc(Cl)n1,IC50,'=',162.0,nM,6.79,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.790484985457369,COc1cc(C(=O)/C(C)=C/c2ccc(OC)c(O)c2)cc(Cl)n1
4090,CHEMBL3359372,CCS(=O)(=O)c1cccc(-c2nc3cccnc3n2C2CCCCC2)c1,IC50,'=',164.0,nM,6.79,,F,Cytotoxicity against paclitaxel-resistant human MDA-MB-231 cells after 24 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.785156151952302,CCS(=O)(=O)c1cccc(-c2nc3cccnc3n2C2CCCCC2)c1
15488,CHEMBL5091225,C=CC(=O)O[C@@H]1C[C@@H]2C(C)(C)CC[C@@H](O)[C@@]2(C)C(=O)CC[C@@H]2C=C1C(=O)C2=C,IC50,'=',166.0,nM,6.78,,F,Cytotoxicity against human MDA-MB-231 cells assessed as reduction in cell viability incubated for 96 hrs by MTT method,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.779891911959945,C=CC(=O)O[C@@H]1C[C@@H]2C(C)(C)CC[C@@H](O)[C@@]2(C)C(=O)CC[C@@H]2C=C1C(=O)C2=C
7605,CHEMBL4792369,Cc1ccc(NC(=O)c2cncc(C(F)(F)F)c2)cc1C#Cc1nn(C2CCN(C)CC2)c2ncnc(N)c12,IC50,'=',167.0,nM,6.78,,F,Antiproliferative activity against human MDA-MB-231 cells assessed as reduction in cell viability incubated for 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.777283528852417,Cc1ccc(NC(=O)c2cncc(C(F)(F)F)c2)cc1C#Cc1nn(C2CCN(C)CC2)c2ncnc(N)c12
5816,CHEMBL4591436,CC[C@H](N)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1Cn1cc(CO[C@H](C)[C@H](NC(=O)[C@H](C)NC)C(=O)N3CCC[C@H]3Cn3nnnc3Sc3ccccc3)nn1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F,IC50,'=',168.0,nM,6.78,,F,Cytotoxicity against human MDA-MB-231 cells assessed as reduction in cell viability incubated for 96 hrs by MTT dye based assay,Homo sapiens,,MDA-MB-231,Homo sapiens,,6.774690718274137,CC[C@H](N)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1Cn1cc(CO[C@H](C)[C@H](NC(=O)[C@H](C)NC)C(=O)N3CCC[C@H]3Cn3nnnc3Sc3ccccc3)nn1)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F
12393,CHEMBL3327113,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCc3ccc(O)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,IC50,'=',170.0,nM,6.77,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.769551078621726,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCc3ccc(O)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
3547,CHEMBL1081516,C[C@H](C=O)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,'=',170.0,nM,6.77,,F,Antiproliferative activity against human MDA-MB-231 cells after 3 days by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Nat Prod,6.769551078621726,C[C@H](C=O)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
12818,CHEMBL3327118,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCc3ccc(N)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,IC50,'=',170.0,nM,6.77,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.769551078621726,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCc3ccc(N)cc3)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O
14900,CHEMBL4176354,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1C(=O)OC.[Cl-],IC50,'=',170.0,nM,6.77,,F,Antiproliferative activity against human MDA-MB-231 cells by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,6.769551078621726,CCn1c(=O)/c(=C2\Sc3cc(Cl)ccc3N2C)s/c1=C\c1scc[n+]1Cc1ccccc1C(=O)OC.[Cl-]
13816,CHEMBL2236668,NS(=O)(=O)c1ccc(NP2(=O)NCCCO2)cc1,IC50,'=',170.0,nM,6.77,,F,Cytotoxicity against Homo sapiens (human) MDA-MB-231 cells after 48 hr by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Med Chem Res,6.769551078621726,NS(=O)(=O)c1ccc(NP2(=O)NCCCO2)cc1
12102,CHEMBL4102051,O=C(CCCCCCNc1ncnc2ccc(Cl)cc12)NO,IC50,'=',170.0,nM,6.77,,F,Anti-proliferative activity against human MDA-MB-231 cells after 48 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem Lett,6.769551078621726,O=C(CCCCCCNc1ncnc2ccc(Cl)cc12)NO
6648,CHEMBL4856163,CCCn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21.[Cl-],IC50,'=',170.0,nM,6.77,,F,Cytotoxicity against human MDA-MB-231 cells assessed as inhibition of cell growth measured after 24 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,6.769551078621726,CCCn1cc([C+](c2ccc(C(F)(F)F)cc2)c2c[nH]c3ccccc23)c2ccccc21.[Cl-]
8118,CHEMBL575805,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCO)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1,IC50,'=',173.0,nM,6.76,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Bioorg Med Chem,6.761953896871205,CC[C@H](NC)C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CCO)CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1
